game_id,names,min_players,max_players,avg_time,min_time,max_time,year,geek_rating,num_votes,age,mechanic,owned,category1,category2,designer
17526,Hecatomb,2,4,30,30,30,2005,5.70135,360,15,Hand Management,748,Card Game, Collectible Components,"Mike Elliott, Jonathan Tweet"
156,Wildlife Adventure,2,6,60,60,60,1985,5.926480000000001,535,10,"Point to Point Movement, Route/Network Building",786,Animals, Exploration,"Wolfgang Kramer, Ursula Kramer"
2397,Backgammon,2,2,30,30,30,-3000,6.37107,9684,8,"Betting/Wagering, Dice Rolling, Roll / Spin and Move",14104,Abstract Strategy, Dice,(Uncredited)
8147,Maka Bana,2,6,60,45,60,2003,5.9032599999999995,658,10,"Secret Unit Deployment, Simultaneous Action Selection",897,Bluffing, Card Game,François Haffner
92190,Super Dungeon Explore,2,6,120,120,120,2011,6.37715,2338,10,"Action Point Allowance System, Dice Rolling, Modular Board, Partnerships, Variable Phase Order, Variable Player Powers",5182,Adventure, Exploration,"Chris Birkenhagen, John Cadice, Deke Stella"
1668,Modern Naval Battles,2,6,90,90,90,1989,5.73222,401,12,"Hand Management, Take That",689,Card Game, Modern Warfare,"Alan Emrich, Beth Queman, Dan Verssen"
28089,Château Roquefort,2,4,30,30,30,2007,6.36975,2051,6,"Action Point Allowance System, Memory",2652,Animals, Children's Game,"Jens-Peter Schliemann, Bernhard Weber"
4854,7th Fleet,2,2,120,120,120,1987,5.85188,354,12,"Dice Rolling, Hex-and-Counter",938,Modern Warfare, Nautical,Joseph M. Balkoski
21791,Masons,2,4,45,45,45,2006,6.196219999999999,2299,8,"Dice Rolling, Hand Management",2756,City Building, Medieval,Leo Colovini
27965,"The Tide at Sunrise: The Russo-Japanese War, 1904-1905",1,2,240,240,240,2010,5.7439800000000005,198,12,Hex-and-Counter,692,Post-Napoleonic, Wargame,"Yukihiro Kuroda, Adam Starkweather"
30645,Tammany Hall,3,5,90,90,90,2007,6.752160000000001,2825,12,"Area Control / Area Influence, Auction/Bidding, Variable Player Powers",3829,Negotiation, Political,Doug Eckhart
464,Billabong,2,4,30,30,30,1995,6.03068,717,10,Grid Movement,759,Abstract Strategy, Animals,Eric Solomon
141932,The Agents,2,5,40,20,40,2013,5.9671199999999995,1357,8,Hand Management,2930,Card Game, Spies/Secret Agents,Saar Shai
192834,Fight for Olympus,2,2,30,30,30,2016,5.96256,614,12,Hand Management,1110,Ancient, Card Game,Matthias Cramer
458,Sherlock Holmes: The Card Game,3,8,60,60,60,1991,5.71513,462,10,none,911,Card Game, Murder/Mystery,Roger Heyworth
1444,SPQR,2,2,240,240,240,1992,6.01325,444,13,"Dice Rolling, Hex-and-Counter, Simulation",1078,Ancient, Wargame,"Richard H. Berg, Mark Herman"
155873,Power Grid Deluxe: Europe/North America,2,6,120,120,120,2014,7.307930000000001,2658,12,"Auction/Bidding, Route/Network Building",4864,Economic, Industry / Manufacturing,Friedemann Friese
150312,Welcome to the Dungeon,2,4,30,30,30,2013,6.55404,7903,10,"Memory, Player Elimination, Press Your Luck",13950,Bluffing, Card Game,Masato Uesugi
5476,A Gleam of Bayonets: The Battle of Antietam,2,2,360,360,360,1983,5.66576,138,12,Hex-and-Counter,425,American Civil War, Wargame,Richard H. Berg
155987,Abyss,2,4,60,30,60,2014,7.018730000000001,6663,14,"Auction/Bidding, Card Drafting, Hand Management, Press Your Luck, Set Collection",8169,Card Game, Mythology,"Bruno Cathala, Charles Chevallier"
67199,The Coming Storm,2,2,360,0,360,2010,5.7049900000000004,104,0,"Campaign / Battle Card Driven, Dice Rolling, Hex-and-Counter, Simulation",377,Napoleonic, Wargame,Kevin Zucker
249,Lifeboats,3,6,90,90,90,1993,6.30585,3159,12,"Player Elimination, Simultaneous Action Selection, Voting",3399,Nautical, Negotiation,Ronald Wettering
56931,Arena: Roma II,2,2,45,30,45,2009,6.39268,1853,8,"Action Point Allowance System, Card Drafting, Dice Rolling, Hand Management",2632,Ancient, Card Game,Stefan Feld
4095,Star Munchkin,3,6,90,90,90,2002,5.91058,4069,10,"Card Drafting, Dice Rolling, Take That, Trading, Variable Player Powers",8047,Card Game, Fighting,Steve Jackson (I)
80771,Dungeon Raiders,3,5,60,20,60,2011,6.13961,1443,8,"Hand Management, Player Elimination, Simultaneous Action Selection, Take That, Variable Player Powers",2191,Adventure, Bluffing,Phil Walker-Harding
11886,Texas Glory: 1835-36,2,2,120,120,120,2008,5.69683,164,0,"Dice Rolling, Secret Unit Deployment",340,American West, Post-Napoleonic,"Tom Dalgliesh, Dan Mings, Carl Willner"
154086,Gold West,2,4,60,45,60,2015,6.6426300000000005,1539,13,"Area Control / Area Influence, Modular Board, Route/Network Building, Set Collection",1922,American West, Economic,J. Alex Kevern
72132,Dragon Rampage,3,5,120,90,120,2012,5.79141,486,13,"Area Control / Area Influence, Card Drafting, Dice Rolling, Variable Player Powers",881,Dice, Fantasy,Richard Launius
119,Kingdoms,2,4,45,45,45,1994,6.39197,4261,9,Tile Placement,5525,Abstract Strategy, Fantasy,Reiner Knizia
166857,Antike II,3,6,120,90,120,2014,6.3914,893,13,"Area Control / Area Influence, Area Movement",1462,Ancient, Civilization,Mac Gerdts
67600,D-Day at Tarawa,1,1,420,0,420,2014,5.93444,231,0,"Hex-and-Counter, Simulation",1058,Wargame, World War II,John H. Butterfield
120669,No Retreat! The North African Front,2,2,180,180,180,2013,5.84812,253,12,Hex-and-Counter,1102,Wargame, World War II,Carl Paradis
